Dataset,input_complex,input_f1,input_f1v,input_f2,input_f3,input_f4,input_l1,input_l2,input_l3,input_n1,input_n2,input_n3,input_n4,input_t1,input_lsc,input_density,input_clsCoef,input_hubs,input_t2,input_t3,input_t4,input_c1,input_c2
D1063,0.378,0.25,0.137,0.156,0.972,0.919,0.075,0.094,0.061,0.073,0.396,0.144,0.078,0.641,0.992,0.984,0.615,0.924,0.007,0.006,0.8,0.0,0.001
D1064,0.42,0.355,0.21,0.33,0.981,0.941,0.121,0.144,0.119,0.116,0.423,0.238,0.13,0.775,0.996,0.986,0.639,0.932,0.007,0.006,0.8,0.0,0.001
D1065,0.339,0.34,0.13,0.06,0.79,0.677,0.046,0.101,0.055,0.05,0.368,0.099,0.053,0.429,0.974,0.974,0.593,0.898,0.007,0.006,0.8,0.001,0.002
D1066,0.357,0.363,0.145,0.063,0.896,0.742,0.058,0.111,0.078,0.06,0.378,0.114,0.066,0.483,0.984,0.979,0.613,0.905,0.007,0.006,0.8,0.0,0.0
D1067,0.4,0.431,0.205,0.136,0.987,0.943,0.111,0.147,0.099,0.095,0.407,0.189,0.093,0.681,0.993,0.972,0.591,0.897,0.007,0.006,0.8,0.0,0.0
D1068,0.423,0.483,0.251,0.159,0.955,0.92,0.144,0.169,0.157,0.128,0.424,0.26,0.134,0.765,0.995,0.985,0.645,0.92,0.007,0.006,0.8,0.0,0.001
D1069,0.441,0.709,0.447,0.083,0.96,0.861,0.205,0.297,0.257,0.095,0.402,0.192,0.181,0.695,0.99,0.983,0.598,0.931,0.007,0.006,0.8,0.0,0.0
D107,0.352,0.196,0.102,0.102,0.964,0.731,0.19,0.069,0.054,0.052,0.371,0.104,0.063,0.472,0.952,0.98,0.736,0.852,0.03,0.021,0.7,0.001,0.001
D1070,0.439,0.703,0.438,0.125,0.954,0.839,0.206,0.299,0.246,0.1,0.406,0.198,0.193,0.692,0.99,0.975,0.561,0.917,0.007,0.006,0.8,0.0,0.0
D1071,0.463,0.761,0.507,0.181,0.972,0.911,0.226,0.331,0.298,0.118,0.42,0.222,0.209,0.79,0.994,0.969,0.551,0.903,0.007,0.006,0.8,0.001,0.003
D1072,0.482,0.791,0.569,0.174,0.984,0.951,0.24,0.338,0.301,0.148,0.437,0.294,0.234,0.84,0.997,0.981,0.598,0.919,0.007,0.006,0.8,0.0,0.0
D1073,0.282,0.048,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.439,0.066,0.006,0.992,0.988,0.993,0.804,0.944,0.015,0.013,0.85,0.0,0.0
D1074,0.345,0.066,0.027,0.042,0.814,0.506,0.005,0.007,0.006,0.038,0.44,0.072,0.01,0.981,0.989,0.991,0.767,0.947,0.015,0.013,0.85,0.0,0.0
D1075,0.397,0.158,0.078,0.074,0.993,0.935,0.053,0.051,0.054,0.082,0.452,0.161,0.042,0.987,0.994,0.993,0.799,0.955,0.015,0.013,0.85,0.0,0.0
D1076,0.422,0.27,0.151,0.076,0.975,0.903,0.104,0.104,0.109,0.131,0.463,0.252,0.093,0.996,0.996,0.995,0.837,0.941,0.015,0.013,0.85,0.0,0.0
D1077,0.328,0.129,0.063,0.016,0.491,0.219,0.009,0.033,0.013,0.05,0.444,0.088,0.016,0.982,0.99,0.996,0.852,0.946,0.015,0.013,0.85,0.0,0.0
D1078,0.375,0.146,0.073,0.024,0.911,0.725,0.018,0.041,0.023,0.069,0.448,0.137,0.025,0.988,0.993,0.995,0.804,0.954,0.015,0.013,0.85,0.0,0.001
D1079,0.413,0.245,0.134,0.074,0.982,0.916,0.072,0.092,0.075,0.104,0.459,0.203,0.075,0.996,0.996,0.996,0.842,0.941,0.015,0.013,0.85,0.0,0.0
D108,0.409,0.309,0.179,0.085,0.955,0.791,0.306,0.119,0.099,0.122,0.415,0.257,0.107,0.719,0.982,0.993,0.884,0.931,0.03,0.021,0.7,0.0,0.0
D1080,0.434,0.36,0.209,0.084,0.982,0.906,0.119,0.14,0.11,0.138,0.464,0.272,0.11,0.997,0.997,0.996,0.832,0.953,0.015,0.013,0.85,0.0,0.0
D1081,0.379,0.342,0.135,0.011,0.769,0.628,0.049,0.104,0.057,0.075,0.443,0.146,0.051,0.916,0.989,0.994,0.811,0.947,0.015,0.013,0.85,0.0,0.0
D1082,0.408,0.365,0.144,0.043,0.925,0.818,0.059,0.109,0.068,0.083,0.447,0.167,0.057,0.95,0.991,0.998,0.906,0.964,0.015,0.013,0.85,0.0,0.0
D1083,0.418,0.434,0.187,0.032,0.966,0.877,0.096,0.137,0.102,0.111,0.454,0.21,0.075,0.984,0.994,0.989,0.738,0.934,0.015,0.013,0.85,0.0,0.001
D1084,0.443,0.513,0.258,0.054,0.978,0.886,0.146,0.181,0.136,0.135,0.461,0.261,0.107,0.993,0.996,0.994,0.817,0.949,0.015,0.013,0.85,0.0,0.001
D1085,0.477,0.707,0.44,0.036,0.96,0.834,0.204,0.294,0.246,0.13,0.458,0.25,0.163,0.97,0.994,0.999,0.948,0.982,0.015,0.013,0.85,0.0,0.0
D1086,0.473,0.725,0.456,0.045,0.958,0.807,0.204,0.302,0.261,0.132,0.458,0.262,0.164,0.975,0.995,0.996,0.831,0.961,0.015,0.013,0.85,0.0,0.0
D1087,0.491,0.775,0.491,0.05,0.981,0.874,0.221,0.317,0.257,0.144,0.463,0.281,0.173,0.988,0.996,0.999,0.934,0.979,0.015,0.013,0.85,0.0,0.0
D1088,0.5,0.782,0.553,0.078,0.988,0.919,0.235,0.327,0.281,0.163,0.47,0.332,0.221,0.993,0.997,0.995,0.826,0.968,0.015,0.013,0.85,0.0,0.0
D1089,0.182,0.013,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216,0.0,0.0,0.088,0.616,0.928,0.487,0.839,0.007,0.006,0.8,0.0,0.0
D109,0.238,0.553,0.066,0.02,0.701,0.0,0.006,0.024,0.0,0.006,0.186,0.006,0.078,0.033,0.775,0.951,0.492,0.898,0.03,0.012,0.4,0.0,0.0
D1090,0.231,0.018,0.007,0.104,0.448,0.316,0.004,0.002,0.001,0.004,0.229,0.008,0.001,0.039,0.828,0.929,0.482,0.845,0.007,0.006,0.8,0.0,0.0
D1091,0.345,0.132,0.069,0.206,0.954,0.901,0.112,0.057,0.054,0.048,0.376,0.1,0.063,0.456,0.988,0.933,0.488,0.835,0.007,0.006,0.8,0.0,0.0
D1092,0.394,0.275,0.157,0.288,0.984,0.946,0.207,0.119,0.131,0.096,0.411,0.192,0.121,0.654,0.994,0.942,0.483,0.859,0.007,0.006,0.8,0.0,0.0
D1093,0.198,0.038,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.249,0.0,0.0,0.14,0.831,0.964,0.491,0.908,0.007,0.005,0.7,0.0,0.0
D1094,0.273,0.045,0.022,0.136,0.789,0.558,0.008,0.003,0.004,0.003,0.265,0.006,0.002,0.128,0.894,0.974,0.538,0.922,0.007,0.005,0.7,0.0,0.0
D1095,0.35,0.154,0.082,0.219,0.97,0.908,0.114,0.054,0.045,0.046,0.368,0.095,0.057,0.408,0.987,0.979,0.568,0.933,0.007,0.005,0.7,0.0,0.001
D1096,0.401,0.272,0.156,0.399,0.981,0.946,0.197,0.108,0.107,0.099,0.408,0.2,0.104,0.654,0.994,0.981,0.571,0.938,0.007,0.005,0.7,0.0,0.001
D1097,0.207,0.112,0.036,0.006,0.154,0.0,0.001,0.002,0.0,0.004,0.257,0.005,0.002,0.071,0.788,0.964,0.557,0.878,0.007,0.005,0.7,0.001,0.002
D1098,0.28,0.13,0.044,0.047,0.734,0.561,0.019,0.014,0.009,0.009,0.31,0.017,0.005,0.172,0.954,0.969,0.568,0.886,0.007,0.005,0.7,0.0,0.0
D1099,0.356,0.222,0.103,0.15,0.976,0.931,0.128,0.06,0.061,0.061,0.38,0.123,0.058,0.496,0.987,0.96,0.549,0.876,0.007,0.005,0.7,0.0,0.0
D11,0.473,0.785,0.59,0.093,0.964,0.785,0.195,0.322,0.29,0.158,0.438,0.325,0.191,0.851,0.986,0.981,0.702,0.894,0.03,0.024,0.8,0.001,0.001
D110,0.243,0.598,0.07,0.023,0.728,0.0,0.018,0.036,0.024,0.007,0.195,0.006,0.072,0.069,0.804,0.939,0.435,0.882,0.03,0.012,0.4,0.0,0.0
D1100,0.393,0.309,0.159,0.192,0.954,0.917,0.209,0.104,0.105,0.101,0.411,0.204,0.087,0.675,0.994,0.979,0.61,0.913,0.007,0.005,0.7,0.0,0.001
D1101,0.329,0.395,0.204,0.037,0.772,0.554,0.111,0.164,0.105,0.017,0.3,0.035,0.131,0.247,0.925,0.986,0.599,0.95,0.007,0.005,0.7,0.0,0.0
D1102,0.338,0.401,0.209,0.083,0.819,0.672,0.116,0.162,0.118,0.022,0.317,0.044,0.141,0.281,0.956,0.967,0.495,0.922,0.007,0.005,0.7,0.0,0.0
D1103,0.394,0.489,0.274,0.161,0.928,0.869,0.162,0.218,0.169,0.069,0.384,0.128,0.187,0.561,0.989,0.964,0.49,0.915,0.007,0.005,0.7,0.001,0.003
D1104,0.426,0.548,0.337,0.195,0.984,0.946,0.2,0.231,0.171,0.103,0.413,0.208,0.207,0.698,0.994,0.975,0.528,0.928,0.007,0.005,0.7,0.0,0.0
D1105,0.251,0.013,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363,0.0,0.0,0.745,0.801,0.991,0.787,0.94,0.015,0.013,0.85,0.0,0.0
D1106,0.308,0.027,0.011,0.052,0.814,0.506,0.01,0.006,0.004,0.004,0.375,0.01,0.005,0.531,0.873,0.988,0.733,0.94,0.015,0.013,0.85,0.0,0.0
D1107,0.388,0.12,0.061,0.082,0.993,0.935,0.098,0.05,0.055,0.048,0.433,0.098,0.039,0.934,0.987,0.992,0.78,0.953,0.015,0.013,0.85,0.0,0.0
D1108,0.418,0.236,0.132,0.09,0.975,0.903,0.186,0.102,0.102,0.109,0.454,0.209,0.117,0.981,0.995,0.993,0.799,0.935,0.015,0.013,0.85,0.0,0.0
D1109,0.253,0.036,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.375,0.001,0.0,0.675,0.903,0.994,0.776,0.967,0.015,0.012,0.8,0.0,0.0
D111,0.322,0.574,0.113,0.171,0.893,0.663,0.091,0.078,0.051,0.049,0.3,0.099,0.063,0.31,0.92,0.939,0.454,0.877,0.03,0.012,0.4,0.001,0.001
D1110,0.336,0.053,0.026,0.04,0.905,0.629,0.016,0.008,0.005,0.01,0.395,0.018,0.01,0.769,0.959,0.993,0.756,0.962,0.015,0.012,0.8,0.0,0.001
D1111,0.393,0.155,0.082,0.095,0.982,0.913,0.111,0.057,0.06,0.06,0.436,0.118,0.049,0.943,0.991,0.995,0.8,0.965,0.015,0.012,0.8,0.0,0.0
D1112,0.42,0.268,0.151,0.103,0.977,0.896,0.187,0.105,0.108,0.1,0.45,0.199,0.103,0.98,0.994,0.995,0.786,0.967,0.015,0.013,0.85,0.0,0.0
D1113,0.25,0.11,0.036,0.001,0.101,0.001,0.0,0.002,0.0,0.007,0.378,0.013,0.004,0.371,0.883,0.991,0.778,0.943,0.015,0.013,0.85,0.0,0.0
D1114,0.347,0.135,0.046,0.036,0.869,0.701,0.024,0.017,0.01,0.015,0.403,0.031,0.007,0.687,0.961,0.996,0.868,0.956,0.015,0.013,0.85,0.0,0.0
D1115,0.383,0.218,0.092,0.034,0.934,0.834,0.113,0.054,0.043,0.051,0.433,0.104,0.05,0.942,0.988,0.988,0.737,0.935,0.015,0.013,0.85,0.0,0.001
D1116,0.418,0.317,0.157,0.062,0.978,0.886,0.203,0.101,0.101,0.088,0.448,0.171,0.091,0.984,0.993,0.993,0.8,0.947,0.015,0.013,0.85,0.0,0.001
D1117,0.375,0.388,0.201,0.016,0.803,0.523,0.11,0.167,0.12,0.032,0.397,0.056,0.108,0.658,0.941,0.998,0.912,0.984,0.015,0.012,0.8,0.0,0.0
D1118,0.388,0.414,0.217,0.029,0.873,0.661,0.117,0.161,0.109,0.046,0.41,0.092,0.112,0.736,0.968,0.995,0.796,0.97,0.015,0.012,0.8,0.0,0.0
D1119,0.436,0.489,0.27,0.059,0.967,0.86,0.156,0.199,0.172,0.074,0.438,0.14,0.149,0.931,0.991,0.998,0.898,0.984,0.015,0.012,0.8,0.0,0.0
D112,0.372,0.706,0.205,0.161,0.899,0.746,0.183,0.116,0.093,0.085,0.379,0.158,0.099,0.555,0.97,0.955,0.519,0.903,0.03,0.012,0.4,0.003,0.008
D1120,0.457,0.554,0.34,0.091,0.987,0.918,0.205,0.219,0.17,0.109,0.455,0.23,0.2,0.985,0.995,0.995,0.804,0.974,0.015,0.012,0.8,0.0,0.0
D1121,0.162,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124,0.0,0.0,0.007,0.5,0.912,0.483,0.821,0.007,0.005,0.7,0.0,0.0
D1122,0.23,0.008,0.004,0.187,0.448,0.316,0.009,0.002,0.003,0.004,0.161,0.008,0.001,0.033,0.822,0.943,0.543,0.844,0.007,0.005,0.7,0.0,0.0
D1123,0.344,0.124,0.065,0.252,0.954,0.901,0.201,0.057,0.064,0.048,0.376,0.1,0.072,0.456,0.988,0.908,0.463,0.822,0.007,0.005,0.7,0.0,0.0
D1124,0.397,0.267,0.153,0.334,0.984,0.946,0.343,0.119,0.129,0.096,0.411,0.192,0.122,0.654,0.994,0.935,0.497,0.84,0.007,0.005,0.7,0.0,0.0
D1125,0.169,0.01,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.145,0.0,0.0,0.013,0.748,0.949,0.45,0.891,0.007,0.004,0.5,0.0,0.0
D1126,0.225,0.016,0.008,0.173,0.522,0.268,0.014,0.003,0.006,0.003,0.192,0.005,0.002,0.053,0.841,0.955,0.465,0.902,0.007,0.004,0.5,0.0,0.0
