Dataset,Synthesizer,Repetition,Authenticity,Coherence,Column Pair Trends,Column Shapes,Coverage,Data Structure,Data Validity,Density,ImpPrecision,ImpRecall,Privacy,output_c1,output_c2,output_clsCoef,output_complex,output_density,output_f1,output_f1v,output_f2,output_f3,output_f4,output_hubs,output_l1,output_l2,output_l3,output_lsc,output_n1,output_n2,output_n3,output_n4,output_t1,output_t2,output_t3,output_t4,Output_IR,Train_IR,Test_IR,IR_Diff,class_sep,flip_y,input_c1,input_c2,input_clsCoef,input_complex,input_density,input_f1,input_f1v,input_f2,input_f3,input_f4,input_hubs,input_l1,input_l2,input_l3,input_lsc,input_n1,input_n2,input_n3,input_n4,input_t1,input_t2,input_t3,input_t4,n_classes,n_clusters_per_class,n_features,n_informative,n_redundant,n_repeated,n_samples,random_state,input_complex_cat,complex_diff
D10,TVAE,R2,0.7164179104477612,0.949,0.7936883002418142,0.8621438263229309,0.817910447761194,1.0,1.0,0.4901492537313434,0.7253731343283583,0.9194029850746268,0.912,0.009,0.024,0.788,0.508,0.988,0.808,0.631,0.084,0.967,0.83,0.923,0.186,0.343,0.281,0.993,0.237,0.465,0.451,0.26,0.946,0.03,0.027,0.9,0.8010752688172043,0.9822485207100592,0.9879518072289156,0.0057032865188564,0.5,0.01,0.0,0.0,0.69,0.447,0.98,0.733,0.551,0.041,0.901,0.669,0.914,0.196,0.337,0.31,0.983,0.119,0.42,0.23,0.131,0.782,0.03,0.024,0.8,2.0,1.0,10.0,4.0,2.0,0.0,500.0,42.0,high,0.061
D10,TVAE,R3,0.7164179104477612,0.948,0.7975761295796937,0.8569877883310718,0.8477611940298507,1.0,1.0,0.4925373134328358,0.6955223880597015,0.9014925373134328,0.91,0.0,0.0,0.9,0.51,0.994,0.82,0.576,0.208,0.976,0.869,0.933,0.132,0.316,0.29,0.992,0.194,0.461,0.397,0.239,0.964,0.03,0.027,0.9,0.9705882352941176,0.9822485207100592,0.9879518072289156,0.0057032865188564,0.5,0.01,0.0,0.0,0.69,0.447,0.98,0.733,0.551,0.041,0.901,0.669,0.914,0.196,0.337,0.31,0.983,0.119,0.42,0.23,0.131,0.782,0.03,0.024,0.8,2.0,1.0,10.0,4.0,2.0,0.0,500.0,42.0,high,0.063
D100,CART,R1,0.417910447761194,0.972,0.8828156617001405,0.92157394843962,0.8925373134328358,1.0,0.989687924016282,0.6758208955223881,0.9313432835820896,0.9701492537313432,0.804,0.009,0.024,0.685,0.336,0.985,0.209,0.101,0.164,0.713,0.427,0.933,0.162,0.084,0.054,0.947,0.073,0.38,0.122,0.06,0.507,0.03,0.021,0.7,0.8010752688172043,0.8611111111111112,0.9186046511627908,0.0574935400516795,4.0,0.2,0.004,0.011,0.583,0.354,0.952,0.199,0.107,0.123,0.86,0.734,0.861,0.234,0.084,0.063,0.962,0.081,0.382,0.17,0.081,0.543,0.03,0.021,0.7,2.0,1.0,10.0,2.0,2.0,0.0,500.0,42.0,medium-low,-0.01799999999999996
D100,CART,R2,0.3194029850746269,0.974,0.8816445729172532,0.9297150610583448,0.9552238805970148,1.0,0.9877883310719132,0.9295522388059704,0.9671641791044776,0.9402985074626866,0.655,0.005,0.015,0.704,0.358,0.985,0.247,0.122,0.132,0.788,0.549,0.936,0.2,0.096,0.093,0.963,0.082,0.389,0.149,0.084,0.591,0.03,0.021,0.7,0.8406593406593407,0.8611111111111112,0.9186046511627908,0.0574935400516795,4.0,0.2,0.004,0.011,0.583,0.354,0.952,0.199,0.107,0.123,0.86,0.734,0.861,0.234,0.084,0.063,0.962,0.081,0.382,0.17,0.081,0.543,0.03,0.021,0.7,2.0,1.0,10.0,2.0,2.0,0.0,500.0,42.0,medium-low,0.0040000000000000036
D100,CART,R3,0.2835820895522388,0.974,0.881360138643997,0.9297150610583444,0.9731343283582088,1.0,0.9896879240162822,0.9659701492537314,0.982089552238806,0.9164179104477612,0.637,0.001,0.004,0.732,0.351,0.987,0.219,0.1,0.191,0.839,0.582,0.931,0.131,0.081,0.078,0.956,0.054,0.375,0.101,0.054,0.558,0.03,0.021,0.7,0.9142857142857144,0.8611111111111112,0.9186046511627908,0.0574935400516795,4.0,0.2,0.004,0.011,0.583,0.354,0.952,0.199,0.107,0.123,0.86,0.734,0.861,0.234,0.084,0.063,0.962,0.081,0.382,0.17,0.081,0.543,0.03,0.021,0.7,2.0,1.0,10.0,2.0,2.0,0.0,500.0,42.0,medium-low,-0.0030000000000000027
D100,TVAE,R1,0.5283582089552239,0.967,0.8577820903412685,0.9134328358208956,0.9313432835820896,1.0,1.0,0.9170149253731348,0.9074626865671642,0.8507462686567164,0.782,0.008,0.022,0.953,0.3,0.996,0.171,0.082,0.02,0.516,0.227,0.961,0.091,0.078,0.045,0.766,0.066,0.256,0.128,0.075,0.382,0.03,0.021,0.7,0.8108108108108109,0.8611111111111112,0.9186046511627908,0.0574935400516795,4.0,0.2,0.004,0.011,0.583,0.354,0.952,0.199,0.107,0.123,0.86,0.734,0.861,0.234,0.084,0.063,0.962,0.081,0.382,0.17,0.081,0.543,0.03,0.021,0.7,2.0,1.0,10.0,2.0,2.0,0.0,500.0,42.0,medium-low,-0.05399999999999999
D100,TVAE,R2,0.4895522388059701,0.967,0.8343926369366862,0.9020352781546812,0.9671641791044776,1.0,1.0,0.7814925373134328,0.8925373134328358,0.9492537313432836,0.836,0.0,0.001,0.937,0.296,0.995,0.158,0.077,0.013,0.507,0.245,0.953,0.09,0.075,0.045,0.792,0.06,0.261,0.113,0.063,0.385,0.03,0.021,0.7,0.95906432748538,0.8611111111111112,0.9186046511627908,0.0574935400516795,4.0,0.2,0.004,0.011,0.583,0.354,0.952,0.199,0.107,0.123,0.86,0.734,0.861,0.234,0.084,0.063,0.962,0.081,0.382,0.17,0.081,0.543,0.03,0.021,0.7,2.0,1.0,10.0,2.0,2.0,0.0,500.0,42.0,medium-low,-0.057999999999999996
D100,TVAE,R3,0.5761194029850746,0.961,0.858198915420391,0.9153324287652644,0.9223880597014924,1.0,1.0,0.7659701492537314,0.8925373134328358,0.8955223880597015,0.851,0.029,0.077,0.913,0.325,0.994,0.19,0.092,0.134,0.507,0.406,0.953,0.097,0.084,0.045,0.915,0.054,0.25,0.116,0.087,0.466,0.03,0.021,0.7,0.6666666666666666,0.8611111111111112,0.9186046511627908,0.0574935400516795,4.0,0.2,0.004,0.011,0.583,0.354,0.952,0.199,0.107,0.123,0.86,0.734,0.861,0.234,0.084,0.063,0.962,0.081,0.382,0.17,0.081,0.543,0.03,0.021,0.7,2.0,1.0,10.0,2.0,2.0,0.0,500.0,42.0,medium-low,-0.02899999999999997
D1000,CART,R1,0.4746268656716418,0.981,0.9028527942372796,0.946132971506106,0.9104477611940298,1.0,0.9903663500678426,0.6892537313432837,0.9149253731343284,0.971641791044776,0.836,0.001,0.003,0.519,0.403,0.972,0.281,0.158,0.445,0.985,0.909,0.918,0.284,0.112,0.103,0.985,0.087,0.405,0.163,0.13,0.67,0.015,0.01,0.7,0.930835734870317,0.9252873563218392,0.9526627218934912,0.0273753655716519,4.0,0.2,0.001,0.003,0.447,0.391,0.953,0.286,0.165,0.308,0.973,0.919,0.9,0.326,0.119,0.124,0.989,0.102,0.409,0.212,0.101,0.646,0.015,0.009,0.6,2.0,2.0,10.0,2.0,2.0,0.0,1000.0,1234.0,medium-high,0.01200000000000001
D1000,CART,R2,0.3313432835820895,0.979,0.882158434142763,0.9417910447761192,0.9776119402985076,1.0,0.9894165535956582,0.9364179104477612,0.9805970149253732,0.9582089552238806,0.687,0.001,0.003,0.521,0.417,0.973,0.356,0.201,0.492,0.979,0.919,0.931,0.286,0.146,0.119,0.988,0.113,0.414,0.227,0.151,0.722,0.015,0.009,0.6,0.9197707736389684,0.9252873563218392,0.9526627218934912,0.0273753655716519,4.0,0.2,0.001,0.003,0.447,0.391,0.953,0.286,0.165,0.308,0.973,0.919,0.9,0.326,0.119,0.124,0.989,0.102,0.409,0.212,0.101,0.646,0.015,0.009,0.6,2.0,2.0,10.0,2.0,2.0,0.0,1000.0,1234.0,medium-high,0.025999999999999968
D1000,CART,R3,0.3552238805970149,0.977,0.8923505077142722,0.9388059701492536,0.9746268656716418,1.0,0.9888738127544096,0.942985074626866,0.9686567164179104,0.9626865671641792,0.6829999999999999,0.001,0.004,0.48,0.407,0.962,0.344,0.19,0.448,0.99,0.94,0.916,0.256,0.133,0.087,0.983,0.086,0.405,0.157,0.14,0.704,0.015,0.01,0.7,0.9142857142857144,0.9252873563218392,0.9526627218934912,0.0273753655716519,4.0,0.2,0.001,0.003,0.447,0.391,0.953,0.286,0.165,0.308,0.973,0.919,0.9,0.326,0.119,0.124,0.989,0.102,0.409,0.212,0.101,0.646,0.015,0.009,0.6,2.0,2.0,10.0,2.0,2.0,0.0,1000.0,1234.0,medium-high,0.01599999999999996
D1000,TVAE,R1,0.4611940298507462,0.95,0.8711664795974385,0.8922659430122117,0.8701492537313433,1.0,1.0,0.8767164179104479,0.8716417910447761,0.8507462686567164,0.7879999999999999,0.005,0.013,0.512,0.364,0.964,0.203,0.1,0.356,0.93,0.819,0.912,0.181,0.09,0.072,0.975,0.066,0.379,0.137,0.082,0.581,0.015,0.009,0.6,0.850828729281768,0.9252873563218392,0.9526627218934912,0.0273753655716519,4.0,0.2,0.001,0.003,0.447,0.391,0.953,0.286,0.165,0.308,0.973,0.919,0.9,0.326,0.119,0.124,0.989,0.102,0.409,0.212,0.101,0.646,0.015,0.009,0.6,2.0,2.0,10.0,2.0,2.0,0.0,1000.0,1234.0,medium-high,-0.027000000000000024
D1000,TVAE,R2,0.5104477611940299,0.955,0.8727396457307023,0.8887381275440976,0.9149253731343284,1.0,1.0,0.8764179104477613,0.8492537313432836,0.9253731343283582,0.81,0.0,0.001,0.467,0.357,0.959,0.174,0.087,0.3,0.958,0.864,0.915,0.172,0.073,0.069,0.974,0.061,0.381,0.122,0.072,0.587,0.015,0.009,0.6,0.95906432748538,0.9252873563218392,0.9526627218934912,0.0273753655716519,4.0,0.2,0.001,0.003,0.447,0.391,0.953,0.286,0.165,0.308,0.973,0.919,0.9,0.326,0.119,0.124,0.989,0.102,0.409,0.212,0.101,0.646,0.015,0.009,0.6,2.0,2.0,10.0,2.0,2.0,0.0,1000.0,1234.0,medium-high,-0.03400000000000003
D1000,TVAE,R3,0.5208955223880597,0.947,0.8649142474686295,0.8924016282225238,0.917910447761194,1.0,1.0,0.817910447761194,0.8492537313432836,0.9313432835820896,0.82,0.0,0.0,0.445,0.362,0.953,0.186,0.096,0.37,0.966,0.875,0.903,0.203,0.081,0.075,0.974,0.07,0.382,0.145,0.084,0.534,0.015,0.009,0.6,0.976401179941003,0.9252873563218392,0.9526627218934912,0.0273753655716519,4.0,0.2,0.001,0.003,0.447,0.391,0.953,0.286,0.165,0.308,0.973,0.919,0.9,0.326,0.119,0.124,0.989,0.102,0.409,0.212,0.101,0.646,0.015,0.009,0.6,2.0,2.0,10.0,2.0,2.0,0.0,1000.0,1234.0,medium-high,-0.029000000000000026
D1001,CART,R1,0.5955223880597015,0.975,0.88506256053484,0.9470827679782904,0.8507462686567164,1.0,0.993080054274084,0.5071641791044778,0.8417910447761194,0.991044776119403,0.855,0.001,0.003,0.531,0.168,0.954,0.05,0.013,0.0,0.0,0.0,0.858,0.0,0.0,0.0,0.51,0.001,0.155,0.0,0.0,0.006,0.015,0.009,0.6,0.930835734870317,0.9881305637982196,0.9760479041916168,-0.0120826596066028,4.0,0.0,0.0,0.0,0.502,0.157,0.934,0.02,0.008,0.0,0.0,0.0,0.834,0.0,0.0,0.0,0.502,0.001,0.121,0.0,0.0,0.007,0.015,0.007,0.5,2.0,1.0,10.0,4.0,2.0,0.0,1000.0,1234.0,low,0.01100000000000001
D1001,CART,R2,0.3194029850746269,0.976,0.889386432972716,0.9497964721845318,0.9522388059701492,1.0,0.993080054274084,0.9011940298507464,0.98955223880597,0.9686567164179104,0.613,0.001,0.003,0.554,0.17,0.956,0.051,0.013,0.0,0.003,0.0,0.865,0.0,0.0,0.0,0.51,0.001,0.153,0.0,0.0,0.007,0.015,0.009,0.6,0.930835734870317,0.9881305637982196,0.9760479041916168,-0.0120826596066028,4.0,0.0,0.0,0.0,0.502,0.157,0.934,0.02,0.008,0.0,0.0,0.0,0.834,0.0,0.0,0.0,0.502,0.001,0.121,0.0,0.0,0.007,0.015,0.007,0.5,2.0,1.0,10.0,4.0,2.0,0.0,1000.0,1234.0,low,0.013000000000000012
D1001,CART,R3,0.3507462686567164,0.978,0.8774735185850618,0.94966078697422,0.9626865671641792,1.0,0.99280868385346,0.8767164179104477,0.982089552238806,0.9731343283582088,0.644,0.001,0.003,0.609,0.175,0.978,0.049,0.013,0.0,0.003,0.0,0.905,0.0,0.0,0.0,0.506,0.001,0.15,0.0,0.0,0.004,0.015,0.009,0.6,0.930835734870317,0.9881305637982196,0.9760479041916168,-0.0120826596066028,4.0,0.0,0.0,0.0,0.502,0.157,0.934,0.02,0.008,0.0,0.0,0.0,0.834,0.0,0.0,0.0,0.502,0.001,0.121,0.0,0.0,0.007,0.015,0.007,0.5,2.0,1.0,10.0,4.0,2.0,0.0,1000.0,1234.0,low,0.017999999999999988
D1001,TVAE,R1,0.4955223880597015,0.961,0.8659860545483443,0.9166892808683854,0.8761194029850746,1.0,1.0,0.8570149253731344,0.8985074626865671,0.8343283582089552,0.7609999999999999,0.0,0.001,0.48,0.179,0.918,0.02,0.008,0.001,0.278,0.0,0.809,0.005,0.003,0.003,0.648,0.004,0.166,0.007,0.004,0.051,0.015,0.007,0.5,0.95906432748538,0.9881305637982196,0.9760479041916168,-0.0120826596066028,4.0,0.0,0.0,0.0,0.502,0.157,0.934,0.02,0.008,0.0,0.0,0.0,0.834,0.0,0.0,0.0,0.502,0.001,0.121,0.0,0.0,0.007,0.015,0.007,0.5,2.0,1.0,10.0,4.0,2.0,0.0,1000.0,1234.0,low,0.021999999999999992
D1001,TVAE,R2,0.5895522388059702,0.961,0.8798162876683222,0.9086838534599728,0.8298507462686567,1.0,1.0,0.6877611940298508,0.844776119402985,0.926865671641791,0.865,0.002,0.005,0.44,0.185,0.897,0.022,0.008,0.007,0.512,0.0,0.781,0.005,0.001,0.0,0.676,0.004,0.141,0.009,0.0,0.034,0.015,0.007,0.5,0.9088319088319088,0.9881305637982196,0.9760479041916168,-0.0120826596066028,4.0,0.0,0.0,0.0,0.502,0.157,0.934,0.02,0.008,0.0,0.0,0.0,0.834,0.0,0.0,0.0,0.502,0.001,0.121,0.0,0.0,0.007,0.015,0.007,0.5,2.0,1.0,10.0,4.0,2.0,0.0,1000.0,1234.0,low,0.027999999999999997
D1001,TVAE,R3,0.5746268656716418,0.962,0.8588392161185967,0.9146540027137042,0.8507462686567164,1.0,1.0,0.6856716417910448,0.8149253731343283,0.9373134328358208,0.85,0.002,0.005,0.512,0.194,0.935,0.027,0.012,0.005,0.476,0.0,0.833,0.016,0.006,0.001,0.667,0.004,0.168,0.01,0.003,0.063,0.015,0.007,0.5,0.9088319088319088,0.9881305637982196,0.9760479041916168,-0.0120826596066028,4.0,0.0,0.0,0.0,0.502,0.157,0.934,0.02,0.008,0.0,0.0,0.0,0.834,0.0,0.0,0.0,0.502,0.001,0.121,0.0,0.0,0.007,0.015,0.007,0.5,2.0,1.0,10.0,4.0,2.0,0.0,1000.0,1234.0,low,0.037000000000000005
D1002,CART,R1,0.6029850746268657,0.983,0.8964990925121104,0.9506105834464044,0.8,1.0,0.993080054274084,0.5047761194029852,0.8477611940298507,0.9865671641791044,0.89,0.001,0.003,0.55,0.226,0.961,0.077,0.03,0.011,0.496,0.112,0.875,0.065,0.016,0.006,0.728,0.016,0.22,0.033,0.021,0.128,0.015,0.009,0.6,0.9252873563218392,0.976401179941003,0.907514450867052,-0.0688867290739508,4.0,0.01,0.0,0.0,0.475,0.193,0.922,0.036,0.016,0.001,0.388,0.0,0.812,0.041,0.007,0.01,0.725,0.005,0.184,0.009,0.003,0.085,0.015,0.007,0.5,2.0,1.0,10.0,4.0,2.0,0.0,1000.0,1234.0,low,0.033
D1002,CART,R2,0.2850746268656716,0.978,0.8957362546890855,0.9472184531886024,0.9686567164179104,1.0,0.993080054274084,0.9092537313432836,0.9731343283582088,0.9582089552238806,0.648,0.001,0.002,0.572,0.218,0.973,0.073,0.025,0.01,0.37,0.04,0.889,0.034,0.012,0.013,0.734,0.012,0.224,0.021,0.024,0.134,0.015,0.009,0.6,0.9364161849710982,0.976401179941003,0.907514450867052,-0.0688867290739508,4.0,0.01,0.0,0.0,0.475,0.193,0.922,0.036,0.016,0.001,0.388,0.0,0.812,0.041,0.007,0.01,0.725,0.005,0.184,0.009,0.003,0.085,0.015,0.007,0.5,2.0,1.0,10.0,4.0,2.0,0.0,1000.0,1234.0,low,0.024999999999999994
D1002,CART,R3,0.3208955223880597,0.985,0.8951517674924446,0.951560379918589,0.9477611940298508,1.0,0.9941655359565807,0.8719402985074628,0.9731343283582088,0.964179104477612,0.66,0.001,0.003,0.566,0.219,0.969,0.077,0.031,0.017,0.455,0.037,0.886,0.04,0.013,0.007,0.715,0.01,0.214,0.018,0.016,0.124,0.015,0.009,0.6,0.930835734870317,0.976401179941003,0.907514450867052,-0.0688867290739508,4.0,0.01,0.0,0.0,0.475,0.193,0.922,0.036,0.016,0.001,0.388,0.0,0.812,0.041,0.007,0.01,0.725,0.005,0.184,0.009,0.003,0.085,0.015,0.007,0.5,2.0,1.0,10.0,4.0,2.0,0.0,1000.0,1234.0,low,0.025999999999999995
D1002,TVAE,R1,0.5029850746268657,0.965,0.8730824716832368,0.8834464043419267,0.844776119402985,1.0,1.0,0.8892537313432837,0.8940298507462686,0.808955223880597,0.76,0.004,0.012,0.466,0.226,0.91,0.071,0.032,0.025,0.572,0.161,0.792,0.107,0.025,0.03,0.818,0.018,0.201,0.037,0.021,0.243,0.015,0.006,0.4,0.8559556786703602,0.976401179941003,0.907514450867052,-0.0688867290739508,4.0,0.01,0.0,0.0,0.475,0.193,0.922,0.036,0.016,0.001,0.388,0.0,0.812,0.041,0.007,0.01,0.725,0.005,0.184,0.009,0.003,0.085,0.015,0.007,0.5,2.0,1.0,10.0,4.0,2.0,0.0,1000.0,1234.0,low,0.033
D1002,TVAE,R2,0.6134328358208955,0.961,0.8685514151835492,0.8822252374491181,0.8671641791044776,1.0,1.0,0.6585074626865672,0.8283582089552238,0.9253731343283582,0.852,0.007,0.02,0.536,0.236,0.938,0.08,0.034,0.006,0.576,0.185,0.822,0.087,0.024,0.018,0.806,0.026,0.199,0.048,0.024,0.236,0.015,0.007,0.5,0.8157181571815718,0.976401179941003,0.907514450867052,-0.0688867290739508,4.0,0.01,0.0,0.0,0.475,0.193,0.922,0.036,0.016,0.001,0.388,0.0,0.812,0.041,0.007,0.01,0.725,0.005,0.184,0.009,0.003,0.085,0.015,0.007,0.5,2.0,1.0,10.0,4.0,2.0,0.0,1000.0,1234.0,low,0.04299999999999998
D1002,TVAE,R3,0.6343283582089553,0.962,0.8762456718019263,0.9005427408412483,0.8776119402985074,1.0,1.0,0.613134328358209,0.8134328358208955,0.9328358208955224,0.856,0.0,0.0,0.524,0.221,0.935,0.051,0.025,0.008,0.51,0.103,0.836,0.047,0.021,0.015,0.77,0.021,0.19,0.043,0.019,0.228,0.015,0.007,0.5,0.976401179941003,0.976401179941003,0.907514450867052,-0.0688867290739508,4.0,0.01,0.0,0.0,0.475,0.193,0.922,0.036,0.016,0.001,0.388,0.0,0.812,0.041,0.007,0.01,0.725,0.005,0.184,0.009,0.003,0.085,0.015,0.007,0.5,2.0,1.0,10.0,4.0,2.0,0.0,1000.0,1234.0,low,0.027999999999999997
